date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2026-09-04,Cal Lutheran,Southwestern (TX),3,0,FINAL,6635152,False
2026-09-04,Yeshiva,Lesley,0,3,FINAL,6635484,False
2026-09-04,East Tex. Baptist,Gustavus Adolphus,3,2,FINAL,6637033,False
2026-09-04,Rhodes,Transylvania,3,0,FINAL,6639563,False
2026-09-04,Penn St.-Behrend,Bethany (WV),3,0,FINAL,6633210,False
2026-09-04,Lawrence,Wis.-Platteville,3,1,FINAL,6634125,False
2026-09-04,Pfeiffer,St. Mary's (IN),0,3,FINAL,6635819,False
2026-09-04,Curry,SUNY Canton,1,3,FINAL,6637661,False
2026-09-04,SUNY New Paltz,Wis.-La Crosse,1,3,FINAL,6638035,False
2026-09-04,Pacific Lutheran,Franklin & Marshall,3,0,FINAL,6633336,False
2026-09-04,Pacific (OR),UW-River Falls,0,3,FINAL,6632400,False
2026-09-04,Augsburg,Lewis & Clark,3,0,FINAL,6632810,False
2026-09-04,Millsaps,Alverno,3,1,FINAL,6633154,False
2026-09-04,Bluffton,Oberlin,3,0,FINAL,6632330,False
2026-09-04,Hanover,Adrian,3,1,FINAL,6633014,False
2026-09-04,Heidelberg,Hiram,2,3,FINAL,6633563,False
2026-09-04,Elizabethtown,York (PA),3,1,FINAL,6633604,False
2026-09-04,FDU-Florham,John Jay,3,0,FINAL,6633775,False
2026-09-04,Coast Guard,UMass Dartmouth,2,3,FINAL,6633800,False
2026-09-04,MSOE,St. John Fisher,3,2,FINAL,6633907,False
2026-09-04,Batten,William Peace,3,0,FINAL,6634006,False
2026-09-04,Chris. Newport,NYU,3,1,FINAL,6634310,False
2026-09-04,King's (PA),Gwynedd Mercy,3,0,FINAL,6634346,False
2026-09-04,Saint Francis,Alfred St.,3,0,FINAL,6634389,False
2026-09-04,Concordia Chicago,Knox,3,1,FINAL,6634536,False
2026-09-04,Rochester (NY),Montclair St.,1,3,FINAL,6634558,False
2026-09-04,Wash. & Jeff.,Alma,3,1,FINAL,6635068,False
2026-09-04,Baruch,Lesley,3,0,FINAL,6635302,False
2026-09-04,Messiah,Bridgewater (VA),1,3,FINAL,6635432,False
2026-09-04,SUNY Morrisville,SUNY Poly,3,1,FINAL,6635806,False
2026-09-04,SUNY Oneonta,Utica,3,0,FINAL,6636396,False
2026-09-04,Gettysburg,Marymount (VA),3,1,FINAL,6636428,False
2026-09-04,St. Joseph's (ME),Rowan,0,3,FINAL,6636500,False
2026-09-04,St. Lawrence,SUNY Cobleskill,3,0,FINAL,6636612,False
2026-09-04,WestConn,Clark (MA),2,3,FINAL,6637671,False
2026-09-04,Farmingdale St.,Suffolk,3,1,FINAL,6638433,False
2026-09-04,Blackburn,Benedictine (IL),3,0,FINAL,6638546,False
2026-09-04,Denison,Franciscan,3,2,FINAL,6639260,False
2026-09-04,North Park,Lynchburg,0,3,FINAL,6640317,False
2026-09-04,Chapman,Gordon,1,3,FINAL,6633967,False
2026-09-04,Pomona-Pitzer,Carleton,3,1,FINAL,6634716,False
2026-09-04,Colorado Col.,Augustana (IL),3,0,FINAL,6636682,False
2026-09-04,Guilford,Greensboro,0,3,FINAL,6632098,False
2026-09-04,Ripon,Martin Luther,3,0,FINAL,6632425,False
2026-09-04,Wilmington (OH),Pitt.-Greensburg,3,0,FINAL,6632466,False
2026-09-04,Lakeland,Concordia-M'head,3,1,FINAL,6632500,False
2026-09-04,Lancaster Bible,Stockton,0,3,FINAL,6632527,False
2026-09-04,La Roche,Keystone,3,1,FINAL,6632586,False
2026-09-04,Wooster,Grove City,0,3,FINAL,6632664,False
2026-09-04,Keuka,Marywood,0,3,FINAL,6632776,False
2026-09-04,Salisbury,Drew,3,0,FINAL,6632778,False
2026-09-04,Plattsburgh St.,Russell Sage,0,3,FINAL,6633384,False
2026-09-04,Elmira,Geneva,1,3,FINAL,6634448,False
2026-09-04,Southern Me.,Dean,3,0,FINAL,6635017,False
2026-09-04,Roger Williams,Neumann,3,2,FINAL,6635229,False
2026-09-04,Salem (NC),Roanoke,2,3,FINAL,6635454,False
2026-09-04,Catholic,Bard,3,0,FINAL,6635646,False
2026-09-04,LaGrange,St. Mary's (IN),2,3,FINAL,6635820,False
2026-09-04,Huntingdon,Oglethorpe,0,3,FINAL,6636633,False
2026-09-04,RIT,Westminster (PA),2,3,FINAL,6638305,False
2026-09-04,SUNY Geneseo,Oswego St.,3,2,FINAL,6638415,False
2026-09-04,UChicago,Earlham,3,1,FINAL,6632182,False
2026-09-04,Earlham,Trine,0,3,FINAL,6635079,False
2026-09-04,Bethel (MN),Lawrence,3,1,FINAL,6636560,False
2026-09-04,Carroll (WI),Texas Lutheran,0,3,FINAL,6632335,False
2026-09-04,Kenyon,Allegheny,2,3,FINAL,6632006,False
2026-09-04,Kean,Cortland,2,3,FINAL,6632238,False
2026-09-04,Alma,Oberlin,3,2,FINAL,6632332,False
2026-09-04,Bridgewater (VA),Lycoming,3,0,FINAL,6632375,False
2026-09-04,Saint Francis,Alfred,0,3,FINAL,6632671,False
2026-09-04,Neb. Wesleyan,Lewis & Clark,3,0,FINAL,6632811,False
2026-09-04,Immaculata,Rutgers-Camden,0,3,FINAL,6632928,False
2026-09-04,Hiram,Hanover,1,3,FINAL,6633044,False
2026-09-04,Whitworth,Wis.-Stout,3,2,FINAL,6633295,False
2026-09-04,Wash. & Lee,Franciscan,3,0,FINAL,6633372,False
2026-09-04,UMass Dartmouth,Endicott,0,3,FINAL,6633608,False
2026-09-04,Mary Baldwin,Randolph,0,3,FINAL,6633665,False
2026-09-04,Pitt.-Bradford,St. John Fisher,1,3,FINAL,6633908,False
2026-09-04,Brandeis,WPI,3,1,FINAL,6634028,False
2026-09-04,SUNY Poly,Alfred St.,0,3,FINAL,6634392,False
2026-09-04,Buena Vista,Knox,3,0,FINAL,6634537,False
2026-09-04,UMass Boston,Wm. Paterson,3,0,FINAL,6634690,False
